ts,client,query,type,response,rcode,latency_ms
2026-02-10T00:00:00.000Z,ENG-MAC-04,login.microsoftonline.com,A,52.92.128.17,NOERROR,46
2026-02-10T00:00:35.670Z,ENG-MAC-04,updates.microsoft.com,A,13.107.42.14,NOERROR,39
2026-02-10T00:01:19.405Z,FIN-WS17,api.github.com,A,140.82.112.5,NOERROR,32
2026-02-10T00:02:31.820Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,32
2026-02-10T00:05:14.463Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,71
2026-02-10T00:08:03.994Z,BLD-RUN-02,api.github.com,A,74.112.186.55,NOERROR,64
2026-02-10T00:10:21.225Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,13
2026-02-10T00:12:42.950Z,ENG-MAC-04,updates.microsoft.com,A,140.82.112.5,NOERROR,26
2026-02-10T00:15:07.953Z,LINUX-JUMP-01,updates.microsoft.com,A,74.112.186.55,NOERROR,31
2026-02-10T00:17:05.915Z,LINUX-JUMP-01,box.com,A,140.82.112.5,NOERROR,71
2026-02-10T00:17:52.306Z,FIN-WS22,registry.npmjs.org,A,52.92.128.17,NOERROR,9
2026-02-10T00:20:43.779Z,ENG-MAC-04,api.github.com,A,13.107.42.14,NOERROR,33
2026-02-10T00:23:24.102Z,LINUX-JUMP-01,box.com,A,140.82.112.5,NOERROR,27
2026-02-10T00:25:31.522Z,ENG-MAC-04,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,25
2026-02-10T00:27:32.241Z,ENG-MAC-17,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,41
2026-02-10T00:29:30.589Z,FIN-WS17,api.github.com,A,13.107.42.14,NOERROR,57
2026-02-10T00:32:01.988Z,LINUX-JUMP-01,cdn.slack.com,A,140.82.112.5,NOERROR,40
2026-02-10T00:34:30.774Z,BLD-RUN-02,cdn.slack.com,A,140.82.112.5,NOERROR,52
2026-02-10T00:35:12.088Z,BLD-RUN-02,updates.microsoft.com,A,13.107.42.14,NOERROR,58
2026-02-10T00:36:34.770Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,23
2026-02-10T00:37:42.972Z,ENG-MAC-04,box.com,A,52.92.128.17,NOERROR,39
2026-02-10T00:39:02.514Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,22
2026-02-10T00:41:32.842Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,45
